Tissue/Biosample,Biosample,Assays,Organ/Tissue,Sample Type,Life Stage,Collection,cCREs (.bed),cCREs (.bigBed),DNase Exp. ID,DNase File ID,DNase Z-scores,DNase Signal,ATAC Exp. ID,ATAC File ID,ATAC Z-scores,ATAC Signal,H3K4me3 Exp. ID,H3K4me3 File ID,H3K4me3 Z-scores,H3K4me3 Signal,H3K27ac Exp. ID,H3K27ac File ID,H3K27ac Z-scores,H3K27ac Signal,CTCF Exp. ID,CTCF File ID,CTCF Z-scores,CTCF Signal,ChromHMM States,Has RNA Seq
Heart,,,,,,,https://downloads.wenglab.org/heart.noccl.cCREs.bed,,,,,,,,,,,,,,,,,,,,,,,no
"Heart, male adult (2 months) strain B6NCrl C57BL/6","Heart, male adult (2 months) strain B6NCrl C57BL/6","DNase,H3K4me3,H3K27ac,CTCF",Heart,Tissue,Adult,Core,https://downloads.wenglab.org/Registry-V4/ENCFF862WQC_ENCFF660WNU_ENCFF266FCV_ENCFF809JIR.bed,https://downloads.wenglab.org/Registry-V4/ENCFF862WQC_ENCFF660WNU_ENCFF266FCV_ENCFF809JIR.bigBed,ENCSR000CNE,ENCFF862WQC,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CNE-ENCFF862WQC.tsv,,,,,,ENCSR000CAM,ENCFF660WNU,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CAM-ENCFF660WNU.tsv,,ENCSR000CDF,ENCFF266FCV,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CDF-ENCFF266FCV.tsv,,ENCSR000CBI,ENCFF809JIR,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CBI-ENCFF809JIR.tsv,,,no
"Heart, mixed sex postnatal (0 days) strain B6NTac;B6NCrl/Lap C57BL/6","Heart, mixed sex postnatal (0 days) strain B6NTac;B6NCrl/Lap C57BL/6","DNase,ATAC,H3K4me3,H3K27ac,CTCF",Heart,Tissue,Adult,Core,https://downloads.wenglab.org/Registry-V4/ENCFF947JCM_ENCFF738LHV_ENCFF306XSO_ENCFF055IZM.bed,https://downloads.wenglab.org/Registry-V4/ENCFF947JCM_ENCFF738LHV_ENCFF306XSO_ENCFF055IZM.bigBed,ENCSR005WPU,ENCFF947JCM,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR005WPU-ENCFF947JCM.tsv,,ENCSR451NAE,ENCFF982LHR,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR451NAE-ENCFF982LHR.tsv,,ENCSR875ZAO,ENCFF738LHV,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR875ZAO-ENCFF738LHV.tsv,,ENCSR675HDX,ENCFF306XSO,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR675HDX-ENCFF306XSO.tsv,,ENCSR491NUM,ENCFF055IZM,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR491NUM-ENCFF055IZM.tsv,,https://downloads.wenglab.org/Registry-V4/ENCFF037LYV.bigBed,yes
"Heart, female postnatal (10 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ","Heart, female postnatal (10 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ",DNase,Heart,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF858PCS.bed,https://downloads.wenglab.org/Registry-V4/ENCFF858PCS.bigBed,ENCSR409LVQ,ENCFF858PCS,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR409LVQ-ENCFF858PCS.tsv,,,,,,,,,,,,,,,,,,,no
"Heart, female postnatal (14 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ","Heart, female postnatal (14 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ",DNase,Heart,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF657VXM.bed,https://downloads.wenglab.org/Registry-V4/ENCFF657VXM.bigBed,ENCSR021LAC,ENCFF657VXM,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR021LAC-ENCFF657VXM.tsv,,,,,,,,,,,,,,,,,,,no
"Heart, female postnatal (25 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ","Heart, female postnatal (25 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ",DNase,Heart,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF668MTU.bed,https://downloads.wenglab.org/Registry-V4/ENCFF668MTU.bigBed,ENCSR441MWY,ENCFF668MTU,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR441MWY-ENCFF668MTU.tsv,,,,,,,,,,,,,,,,,,,no
"Heart, female adult (2 months) strain B6CASTF1/J C57BL/6JxCAST/EiJ","Heart, female adult (2 months) strain B6CASTF1/J C57BL/6JxCAST/EiJ",DNase,Heart,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF175HKB.bed,https://downloads.wenglab.org/Registry-V4/ENCFF175HKB.bigBed,ENCSR804CGV,ENCFF175HKB,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR804CGV-ENCFF175HKB.tsv,,,,,,,,,,,,,,,,,,,no
"Heart, female postnatal (36 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ","Heart, female postnatal (36 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ",DNase,Heart,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF075GWX.bed,https://downloads.wenglab.org/Registry-V4/ENCFF075GWX.bigBed,ENCSR104ZBW,ENCFF075GWX,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR104ZBW-ENCFF075GWX.tsv,,,,,,,,,,,,,,,,,,,no
"Heart, female postnatal (4 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ","Heart, female postnatal (4 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ",DNase,Heart,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF462XVL.bed,https://downloads.wenglab.org/Registry-V4/ENCFF462XVL.bigBed,ENCSR961EFP,ENCFF462XVL,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR961EFP-ENCFF462XVL.tsv,,,,,,,,,,,,,,,,,,,no
"Heart, female adult (18-20 months) strain B6CASTF1/J C57BL/6JxCAST/EiJ","Heart, female adult (18-20 months) strain B6CASTF1/J C57BL/6JxCAST/EiJ",DNase,Heart,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF791MPV.bed,https://downloads.wenglab.org/Registry-V4/ENCFF791MPV.bigBed,ENCSR541MWB,ENCFF791MPV,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR541MWB-ENCFF791MPV.tsv,,,,,,,,,,,,,,,,,,,yes
